Sat. Num,Sat. Name,Item #,Launch Date,Epoch Date,Epoch Time,SMA,eccentricity,inclination,RAAN,Arg. Perigee,True Anomaly,Period,Perigee Altitude,Apogee Altitude,Country,Purpose,Status
00261,THOR ABLESTAR D,86,1961-06-29,2018-11-21,11:55:52.194,7272.387,0.00827,66.6808,103.689,67.651,292.458,102.87,834.143,954.361,US,Unknown,Unknown,
00262,THOR ABLESTAR D,88,1961-06-29,2018-11-21,12:43:14.803,7131.256,0.00845,66.4665,8.236,205.500,154.610,99.89,692.847,813.394,US,Unknown,Unknown,
00263,THOR ABLESTAR D,89,1961-06-29,2018-11-21,12:55:5.281,7136.706,0.01020,66.5321,355.046,49.333,28.605,100.00,685.750,831.393,US,Unknown,Unknown,
00264,THOR ABLESTAR D,90,1961-06-29,2018-11-20,11:39:20.759,7180.118,0.00222,66.5284,323.486,146.316,213.794,100.92,786.056,817.911,US,Unknown,Unknown,
00268,THOR ABLESTAR D,92,1961-06-29,2018-11-20,21:39:9.432,7841.653,0.06508,67.9358,234.423,341.495,86.913,115.18,953.196,1973.839,US,Unknown,Unknown,
00271,MIDAS 5,1,1962-04-09,2018-11-20,20:46:41.067,9475.037,0.03301,86.6662,358.067,185.148,174.940,152.98,2784.161,3409.642,US,Astronomy,Unknown,
00273,MIDAS 5 DEB,3,1962-04-09,2018-11-21,1:24:2.389,9458.443,0.03209,86.6604,341.385,37.971,322.122,152.58,2776.799,3383.817,US,Unknown,Unknown,
00274,MIDAS 5 DEB,4,1962-04-09,2018-11-21,1:45:43.484,9488.380,0.03270,86.6760,13.852,306.568,53.522,153.30,2799.931,3420.560,US,Unknown,Unknown,
00299,THOR ABLESTAR D,95,1961-06-29,2018-11-20,20:59:41.582,7385.616,0.01956,67.1680,319.167,188.787,171.319,105.28,863.009,1151.953,US,Unknown,Unknown,
00309,TIROS 5,1,1962-06-19,2018-11-21,3:1:47.373,7081.760,0.01992,58.0907,260.198,69.900,290.203,98.85,562.541,844.709,US,Earth Sci,Inactive,
00312,DELTA 1 DEB,3,1962-06-19,2018-11-21,4:12:47.346,7089.735,0.02061,58.2500,359.031,233.572,126.531,99.02,565.499,857.702,US,Unknown,Unknown,
00318,THOR ABLESTAR D,99,1961-06-29,2018-11-21,9:45:9.661,6991.331,0.00770,66.5355,315.735,309.640,50.473,96.96,559.385,667.007,US,Unknown,Unknown,
00320,THOR ABLESTAR D,101,1961-06-29,2018-11-20,12:41:34.684,7179.563,0.01402,66.9068,356.752,336.242,23.868,100.90,700.793,902.064,US,Unknown,Unknown,
00323,THOR ABLESTAR D,104,1961-06-29,2018-11-21,5:38:15.587,7227.045,0.00822,66.8423,266.176,309.924,50.185,101.91,789.521,908.299,US,Unknown,Unknown,
00324,THOR ABLESTAR D,105,1961-06-29,2018-11-20,22:14:49.493,7237.130,0.00751,66.8651,156.507,262.191,97.918,102.12,804.640,913.349,US,Unknown,Unknown,
00325,THOR ABLESTAR D,106,1961-06-29,2018-11-20,10:23:13.789,7210.229,0.00637,66.9158,313.957,316.493,43.617,101.55,786.196,877.991,US,Unknown,Unknown,
00327,THOR ABLESTAR D,108,1961-06-29,2018-11-21,13:1:52.249,7308.068,0.01077,66.5442,1.012,122.741,237.366,103.62,851.230,1008.636,US,Unknown,Unknown,
